"";"Year";"F1";"F2";"F3";"F4";"Total"
"1";1782;0;0;0;1;1
"2";1784;0;0;0;1;1
"3";1785;0;0;0;1;1
"4";1786;0;0;0;1;1
"5";1787;0;0;0;1;1
"6";1788;0;0;0;1;1
"7";1790;0;0;0;1;1
"8";1799;0;0;0;1;1
"9";1800;0;0;0;1;1
"10";1809;0;0;1;0;1
"11";1812;0;0;1;0;1
"12";1815;0;0;1;0;1
"13";1819;0;0;0;1;1
"14";1826;0;0;11;0;11
"15";1827;0;0;14;0;14
"16";1828;0;0;28;0;28
"17";1829;0;0;17;0;17
"18";1830;0;0;15;0;15
"19";1831;0;0;9;0;9
"20";1832;0;0;17;0;17
"21";1833;0;0;5;0;5
"22";1834;0;0;5;0;5
"23";1835;0;0;13;0;13
"24";1836;0;1;10;0;11
"25";1837;0;1;11;5;17
"26";1838;0;0;13;3;16
"27";1839;0;0;21;0;21
"28";1840;0;1;13;0;14
"29";1841;0;0;28;0;28
"30";1842;0;0;31;0;31
"31";1843;0;0;23;0;23
"32";1844;0;0;30;1;31
"33";1845;0;0;76;4;80
"34";1846;0;0;85;0;85
"35";1847;0;0;102;1;103
"36";1848;1;0;75;2;78
"37";1849;0;2;73;2;77
"38";1850;0;1;81;1;83
"39";1851;0;0;91;0;91
"40";1852;0;1;94;0;95
"41";1853;0;0;131;0;131
"42";1854;0;3;118;3;124
"43";1855;1;3;135;7;146
"44";1856;0;3;161;12;176
"45";1857;0;2;135;7;144
"46";1858;0;2;153;15;170
"47";1859;0;8;175;16;199
"48";1860;0;7;196;16;219
"49";1861;0;3;207;13;223
"50";1862;0;8;192;8;208
"51";1863;0;9;206;9;224
"52";1864;0;6;225;7;238
"53";1865;1;11;176;11;199
"54";1866;0;11;168;17;196
"55";1867;1;11;165;26;203
"56";1868;1;6;154;14;175
"57";1869;0;13;84;17;114
"58";1870;0;2;91;15;108
"59";1871;0;5;112;21;138
"60";1872;0;7;150;19;176
"61";1873;1;3;111;25;140
"62";1874;0;9;104;16;129
"63";1875;0;7;140;28;175
"64";1876;0;13;202;35;250
"65";1877;5;12;191;85;293
"66";1878;2;14;124;124;264
"67";1879;9;13;0;149;171
"68";1880;8;20;1;144;173
"69";1881;4;11;0;141;156
"70";1882;5;22;0;145;172
"71";1883;3;23;1;150;177
"72";1884;6;17;1;148;172
"73";1885;6;18;5;129;158
"74";1886;3;25;13;125;166
"75";1887;1;25;9;131;166
"76";1888;4;25;6;194;229
"77";1889;7;35;8;1751;1801
"78";1890;7;34;8;1478;1527
"79";1891;2;68;27;1641;1738
"80";1892;6;62;26;1877;1971
"81";1893;9;76;28;8167;8280
"82";1894;423;120;40;12427;13010
"83";1895;47;253;69;13738;14107
"84";1896;65;728;164;19573;20530
"85";1897;95;2617;339;20905;23956
"86";1898;175;7963;497;19970;28605
"87";1899;262;22137;928;23855;47182
"88";1900;372;22598;2305;23174;48449
"89";1901;484;19529;8431;25089;53533
"90";1902;1060;2915;27221;37690;68886
"91";1903;1299;43;28443;39480;69265
"92";1904;1316;87;32542;40354;74299
"93";1905;1447;69;33920;40062;75498
"94";1906;1479;66;34201;43402;79148
"95";1907;1485;73;35221;44293;81072
"96";1908;1045;325;35813;43829;81012
"97";1909;838;13906;36903;32878;84525
"98";1910;898;13493;34728;34945;84064
"99";1911;1055;13100;36448;36003;86606
"100";1912;1091;13688;37631;37261;89671
"101";1913;1233;12975;37157;36679;88044
"102";1914;1193;9942;37586;26248;74969
"103";1915;1660;8864;36019;19764;66307
"104";1916;9478;129;37491;22550;69648
"105";1917;11092;10;34989;24663;70754
"106";1918;13675;17;25891;25057;64640
"107";1919;28558;28;37117;24359;90062
"108";1920;31221;17;42851;15682;89771
"109";1921;33673;190;44643;16545;95051
"110";1922;35367;165;42662;17030;95224
"111";1923;34106;164;39033;19254;92557
"112";1924;36898;265;39432;24683;101278
"113";1925;37145;35893;4552;26938;104528
"114";1926;37273;370;41453;30053;109149
"115";1927;39158;332;44139;33321;116950
"116";1928;40354;427;44011;35968;120760
"117";1929;41178;543;44601;36507;122829
"118";1930;42033;520;43372;36072;121997
"119";1931;38937;456;41166;29860;110419
"120";1932;34724;538;36843;30589;102694
"121";1933;34159;129;31725;30711;96724
"122";1934;34242;91;32774;31580;98687
"123";1935;33892;30795;3160;33050;100897
"124";1936;33828;7581;26793;34772;102974
"125";1937;33468;877;33469;32435;100249
"126";1938;33701;973;35513;28228;98415
"127";1939;28329;910;36115;20652;86006
"128";1940;21259;799;37642;18423;78123
"129";1941;23179;530;32838;21070;77617
"130";1942;23126;417;26606;23428;73577
"131";1943;23211;342;25764;20749;70066
"132";1944;22895;381;29918;19393;72587
"133";1945;21513;515;33765;22401;78194
"134";1946;25002;897;37445;25099;88443
"135";1947;20386;1241;35593;22823;80043
"136";1948;35849;33530;4680;26388;100447
"137";1949;52287;1813;37250;32839;124189
"138";1950;63060;915;37326;36392;137693
"139";1951;63362;1074;31655;37884;133975
"140";1952;58919;1164;32933;40687;133703
"141";1953;63972;1322;36147;42712;144153
"142";1954;67060;1500;40464;45417;154441
"143";1955;64717;1316;41730;47756;155519
"144";1956;65194;1281;41814;47374;155663
"145";1957;67414;1395;42511;46922;158242
"146";1958;74264;1733;45257;51188;172442
"147";1959;79687;2028;47285;39472;168472
"148";1960;85607;35765;13926;36424;171722
"149";1961;83468;2534;45993;32428;164423
"150";1962;82017;2448;41821;25151;151437
"151";1963;82438;2807;43023;27077;155345
"152";1964;87295;44098;43235;30100;204728
"153";1965;84011;42246;45544;42354;214155
"154";1966;78515;34080;44079;66315;222989
"155";1967;77652;29441;36263;90682;234038
"156";1968;77595;48502;26531;98591;251219
"157";1969;96221;87986;13965;77969;276141
"158";1970;89161;138980;6444;80079;314664
"159";1971;93924;232335;7123;71244;404626
"160";1972;103421;306021;21025;43949;474416
"161";1973;98353;313959;35979;19407;467698
"162";1974;91794;328662;36221;16473;473150
"163";1975;95546;358413;36775;16050;506784
"164";1976;95886;378410;37438;14960;526694
"165";1977;95216;390650;37091;15301;538258
"166";1978;93731;417394;37953;17430;566508
"167";1979;90013;457907;14229;17884;580033
"168";1980;89169;453982;35466;19699;598316
"169";1981;89299;470997;33861;20768;614925
"170";1982;86491;494250;33754;23022;637517
"171";1983;104084;516690;32240;18829;671843
"172";1984;105285;546843;32470;19717;704315
"173";1985;116106;568960;32864;20954;738884
"174";1986;116535;583870;34130;24623;759158
"175";1987;123919;623663;21565;28471;797618
"176";1988;127766;573425;40115;32946;774252
"177";1989;122482;557481;42345;40548;762856
"178";1990;121937;551233;44835;46240;764245
"179";1991;123998;504708;44489;51842;725037
"180";1992;135545;474330;46273;57184;713332
"181";1993;141096;461068;30548;59902;692614
"182";1994;144990;362649;72779;57728;638146
"183";1995;145935;387007;74079;64067;671088
"184";1996;155804;394031;76901;112536;739272
"185";1997;162271;398855;84309;87083;732518
"186";1998;169981;432249;69943;87031;759204
"187";1999;183848;444109;91017;108362;827336
"188";2000;204142;483350;106054;118822;912368
"189";2001;214538;490544;108576;105114;918772
"190";2002;231600;472305;125166;112471;941542
"191";2003;253248;474886;158824;120347;1007305
"192";2004;267432;493446;155201;133972;1050051
"193";2005;306197;498143;166598;145360;1116298
"194";2006;351140;463259;187905;151152;1153456
"195";2007;237570;103474;686722;155755;1183521
"196";2008;38442;7945;1042012;164863;1253262
"197";2009;0;0;1134069;182328;1316397
"198";2010;0;14;1253571;195266;1448851
"199";2011;2;7;1481996;207708;1689713
"200";2012;0;10;1328820;634471;1963301
"201";2013;0;8;583393;1529795;2113196
"202";2014;2;6;2;2230617;2230627
"203";2015;1;4;1;2598359;2598365
"204";2016;0;0;0;2015556;2015556
"205";2017;0;0;0;157400;157400
"206";9999;1041846;754458;110160;2944278;4850742
